time x y z V_A gamma chi
3.91601 -425 -477.056 -30 15 -0 1.5708
4.14148 -425 -477.056 -30 15 -0 1.5708
4.36695 -425 -473.674 -30 15 -0 1.5708
4.59242 -425 -470.292 -30 15 -0 1.5708
4.81789 -425 -466.91 -30 15 -0 1.5708
5.04336 -425 -463.528 -30 15 -0 1.5708
5.26883 -425 -460.146 -30 15 -0 1.5708
5.4943 -425 -456.764 -30 15 -0 1.5708
5.71977 -425 -453.382 -30 15 -0 1.5708
5.94524 -425 -450 -30 15 -0 1.5708
6.17071 -425 -450 -30 15 -0 1.5708
6.39618 -425 -446.618 -30 15 -0 1.5708
6.62165 -425 -443.236 -30 15 -0 1.5708
6.84712 -425 -439.854 -30 15 -0 1.5708
7.07259 -425 -436.472 -30 15 -0 1.5708
7.29806 -425 -433.09 -30 15 -0 1.5708
7.52353 -425 -429.708 -30 15 -0 1.5708
7.749 -425 -426.326 -30 15 -0 1.5708
7.97447 -425 -422.944 -30 15 -0 1.47262
8.2748 -425 -422.944 -30 15 -0 1.47262
8.57513 -424.559 -418.468 -30 15 -0 1.27627
8.87546 -423.254 -414.163 -30 15 -0 1.07992
9.1758 -421.133 -410.197 -30 15 -0 0.883573
9.47613 -418.28 -406.72 -30 15 -0 0.687223
9.77646 -414.803 -403.867 -30 15 -0 0.490874
10.0768 -410.837 -401.746 -30 15 -0 0.294524
10.3771 -406.532 -400.441 -30 15 -0 0.0981748
10.6775 -402.056 -400 -30 15 -0 0
10.8145 -402.056 -400 -30 15 -0 0
10.9516 -400 -400 -30 15 -0 0
11.1536 -400 -400 -30 15 -0 0
11.3556 -396.97 -400 -30 15 -0 0
11.5575 -393.941 -400 -30 15 -0 0
11.7595 -390.911 -400 -30 15 -0 0
11.9615 -387.882 -400 -30 15 -0 0
12.1634 -384.852 -400 -30 15 -0 0
12.3654 -381.823 -400 -30 15 -0 0
12.5674 -378.793 -400 -30 15 -0 0
12.7693 -375.764 -400 -30 15 -0 6.2499
12.8712 -375.764 -400 -30 15 -0 6.2499
12.973 -374.238 -400.051 -30 15 -0 6.21662
13.283 -374.238 -400.051 -30 15 -0 6.21662
13.593 -369.598 -400.36 -30 15 -0 6.21662
13.903 -364.958 -400.669 -30 15 -0 6.21662
14.213 -360.318 -400.979 -30 15 -0 6.21662
14.523 -355.678 -401.288 -30 15 -0 6.21662
14.833 -351.038 -401.597 -30 15 -0 6.21662
15.1431 -346.399 -401.907 -30 15 -0 6.21662
15.4531 -341.759 -402.216 -30 15 -0 6.21662
15.7631 -337.119 -402.525 -30 15 -0 6.21662
16.0731 -332.479 -402.835 -30 15 -0 6.21662
16.3831 -327.839 -403.144 -30 15 -0 6.21662
16.6931 -323.199 -403.453 -30 15 -0 6.21662
17.0031 -318.559 -403.763 -30 15 -0 6.21662
17.3131 -313.92 -404.072 -30 15 -0 6.21662
17.6231 -309.28 -404.381 -30 15 -0 6.21662
17.9332 -304.64 -404.691 -30 15 -0 6.21662
18.2432 -300 -405 -30 15 -0 6.21662
18.5532 -300 -405 -30 15 -0 6.21662
18.8632 -295.36 -405.309 -30 15 -0 6.21662
19.1732 -290.72 -405.619 -30 15 -0 6.21662
19.4832 -286.08 -405.928 -30 15 -0 6.21662
19.7932 -281.441 -406.237 -30 15 -0 6.21662
20.1032 -276.801 -406.547 -30 15 -0 6.21662
20.4132 -272.161 -406.856 -30 15 -0 6.21662
20.7232 -267.521 -407.165 -30 15 -0 6.21662
21.0333 -262.881 -407.475 -30 15 -0 6.21662
21.3433 -258.241 -407.784 -30 15 -0 6.21662
21.6533 -253.601 -408.093 -30 15 -0 6.21662
21.9633 -248.962 -408.403 -30 15 -0 6.21662
22.2733 -244.322 -408.712 -30 15 -0 6.21662
22.5833 -239.682 -409.021 -30 15 -0 6.21662
22.8933 -235.042 -409.331 -30 15 -0 6.21662
23.2033 -230.402 -409.64 -30 15 -0 6.21662
23.5133 -225.762 -409.949 -30 15 -0 6.2499
23.6152 -225.762 -409.949 -30 15 -0 6.2499
23.717 -224.236 -410 -30 15 -0 0
23.919 -224.236 -410 -30 15 -0 0
24.1209 -221.207 -410 -30 15 -0 0
24.3229 -218.177 -410 -30 15 -0 0
24.5249 -215.148 -410 -30 15 -0 0
24.7268 -212.118 -410 -30 15 -0 0
24.9288 -209.089 -410 -30 15 -0 0
25.1308 -206.059 -410 -30 15 -0 0
25.3327 -203.03 -410 -30 15 -0 0
25.5347 -200 -410 -30 15 -0 0
25.7376 -200 -410 -30 15 -0 0
25.9404 -196.957 -410 -30 15 -0 0
26.1433 -193.914 -410 -30 15 -0 0
26.3461 -190.871 -410 -30 15 -0 0
26.549 -187.828 -410 -30 15 -0 0
26.7519 -184.785 -410 -30 15 -0 0
26.9547 -181.742 -410 -30 15 -0 0
27.1576 -178.699 -410 -30 15 -0 0
27.3605 -175.656 -410 -30 15 0.0734238 0.0285931
27.4479 -175.656 -410 -30 15 0.0734238 0.0285931
27.5354 -174.345 -409.962 -30.0965 15 0.146006 0.0571861
27.8204 -174.345 -409.962 -30.0965 15 0.146006 0.0571861
28.1054 -170.122 -409.721 -30.7185 15 0.146006 0.0571861
28.3905 -165.899 -409.479 -31.3405 15 0.146006 0.0571861
28.6755 -161.677 -409.237 -31.9624 15 0.146006 0.0571861
28.9605 -157.454 -408.996 -32.5844 15 0.146006 0.0571861
29.2455 -153.231 -408.754 -33.2064 15 0.146006 0.0571861
29.5305 -149.008 -408.512 -33.8284 15 0.146006 0.0571861
29.8155 -144.785 -408.27 -34.4504 15 0.146006 0.0571861
30.1005 -140.563 -408.029 -35.0724 15 0.146006 0.0571861
30.3855 -136.34 -407.787 -35.6944 15 0.146006 0.0571861
30.6705 -132.117 -407.545 -36.3163 15 0.146006 0.0571861
30.9556 -127.894 -407.303 -36.9383 15 0.146006 0.0571861
31.2406 -123.672 -407.062 -37.5603 15 0.146006 0.0571861
31.5256 -119.449 -406.82 -38.1823 15 0.146006 0.0571861
31.8106 -115.226 -406.578 -38.8043 15 0.146006 0.0571861
32.0956 -111.003 -406.336 -39.4263 15 0.146006 0.0571861
32.3806 -106.78 -406.095 -40.0482 15 0.146006 0.0571861
